results/metrics_kse-RefineLB_40_40_constant_exponential_memory.csv ---> ERROR
Wrong number of columns at line 9
-
130.89,0,12001,0
145.63,125,12001,141
130.79,0,12000,0
578.58,0,12001,0
219.93,102,12001,60
923.07,0,12000,0
140.07,0,12001,0
118.18,149,12000,255
131.24,0,12001,0
494.3,0,12001,0
148.41,120,12001,183
753.2,17,12001,69
141.57,0,8877,0
465.7,130,6515,138
111.97,4,8853,2
366.8,0,8743,0
106.81,135,8519,69
547.38,6,8626,1
123.18,0,8916,0
105.52,129,8894,46
113.61,4,8881,5
387.47,0,8710,0
280.69,143,8587,83
454.56,6,8708,10
305.21,0,24001,0
126.51,121,24001,218
254.12,0,24000,0
850.68,0,24001,0
1124.3,102,22765,1637
917.07,7,24001,54
111.63,0,24001,0
131.19,141,24001,436
338.12,0,24000,0
731.66,0,24000,0
218.72,141,24001,304
1216.0,21,22121,519
171.32,0,17569,0
569.23,128,7712,213
142.87,4,17455,13
609.62,0,16792,0
113.81,117,17159,105
413.52,0,17161,0
69.76,0,17708,0
57.59,113,17697,125
87.71,0,17376,0
451.83,0,16956,0
573.39,100,15924,180
735.96,4,16112,8
114.24,0,12001,0
84.82,298,12001,260
149.03,6,12000,13
325.09,0,12001,0
1207.54,316,11816,566
445.89,13,12000,24
77.76,0,12001,0
117.82,303,12000,301
101.41,1,12001,6
106.84,0,12001,0
109.0,296,12000,260
173.22,0,12000,0
99.53,0,8928,0
62.47,302,8581,148
111.67,8,8911,10
163.31,0,8780,0
479.33,305,8162,167
141.15,5,8739,4
46.0,0,8929,0
76.22,310,8878,156
97.13,3,8907,2
110.67,0,8770,0
115.3,294,8496,146
350.75,3,8722,10
88.09,0,24000,0
147.64,282,24001,460
0.0,9,22018,2449
455.97,0,24001,0
857.77,293,23895,686
236.12,0,24001,0
106.16,0,24000,0
117.67,302,24001,448
110.31,1,24001,3
342.42,0,24001,0
154.76,284,24001,407
303.25,1,24001,5
126.78,0,17257,2
51.9,297,16934,286
155.35,3,17183,16
365.62,0,17175,0
1125.32,312,10558,279
587.04,5,16793,6
68.83,0,17816,0
184.98,298,16890,369
81.92,0,17845,0
160.09,0,17463,0
115.37,313,16924,310
458.76,6,16970,8
