timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1042880,5,1109852,5,1110856,5,1096440,5
60,1370240,5,1338080,5,1460128,5,1231212,5
120,1529168,5,1511060,5,1581436,5,1354500,5
180,1590284,5,1545116,5,1607396,5,1415376,5
240,1592132,5,1531256,5,1651220,5,1408776,5
300,1557284,5,1564388,5,1619672,5,1426972,5
360,1539992,5,1547360,5,1673264,5,1451920,5
420,1582760,5,1547492,5,1637360,5,1443736,5
480,1574576,5,1572176,5,1633400,5,1462876,5
540,1609028,5,1546304,5,1650692,5,1438720,5
600,1599128,5,1578116,5,1651484,5,1466308,5
660,1559528,5,1568348,5,1694384,5,1459312,5
720,1611536,5,1568216,5,1665872,5,1466308,5
780,1605860,5,1590040,5,1650560,5,1487692,5
840,1594508,5,1591084,5,1706528,5,1474096,5
900,1592528,5,1562308,5,1683164,5,1498384,5
960,1580648,5,1587916,5,1677352,5,1480696,5
1020,1596488,5,1571812,5,1694776,5,1479244,5
1080,1569692,5,1581316,5,1664416,5,1493744,5
1140,1583948,5,1566136,5,1676296,5,1486616,5
1200,1601672,5,1581976,5,1670220,5,1467740,5
1260,1618700,5,1572604,5,1707312,5,1476848,5
1320,1607084,5,1553068,5,1691736,5,1485956,5
1380,1605104,5,1548448,5,1739652,5,1470512,5
1440,1587152,5,1602172,5,1683552,5,1489520,5
1500,1587020,5,1582900,5,1703088,5,1483712,5
1560,1641140,5,1558876,5,1662036,5,1478300,5
1620,1597976,5,1537228,5,1704144,5,1480676,5
1680,1601276,5,1566532,5,1678932,5,1479752,5
1740,1573556,5,1567720,5,1708104,5,1488728,5
1800,1613208,5,1586116,5,1678668,5,1485032,5
