timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1059136,5,1116968,5,1118396,5,1108888,5
60,1279576,5,1492244,5,1278776,5,1485484,5
120,1327492,4,1368956,5,1413152,6,1394704,5
180,1381348,5,1436232,5,1376192,5,1409224,5
240,1417384,5,1400196,5,1444436,5,1381900,5
300,1382800,5,1402836,5,1414340,5,1404076,5
360,1351252,5,1402000,5,1422240,5,1412392,5
420,1354816,5,1400020,5,1404200,5,1458224,5
480,1343200,5,1408468,5,1469540,6,1380740,4
540,1370788,5,1382728,4,1414232,5,1403444,6
600,1384648,5,1437244,5,1396412,5,1407272,5
660,1337128,5,1445692,5,1356400,5,1409044,5
720,1376604,5,1463380,5,1442596,5,1408424,5
780,1372644,4,1393288,5,1442200,5,1447232,6
840,1327764,4,1452820,5,1404184,5,1420832,6
900,1383072,5,1429848,5,1376728,4,1492244,6
960,1341756,4,1476048,5,1400488,6,1456868,5
1020,1406568,5,1459812,5,1416196,5,1376776,5
1080,1329348,4,1430244,5,1459756,5,1392748,6
1140,1418844,5,1452552,5,1409992,5,1416712,5
1200,1377132,5,1487268,5,1443388,5,1453256,5
1260,1423596,5,1444104,5,1415800,5,1354916,5
1320,1433512,4,1463112,5,1400636,5,1418408,6
1380,1362496,4,1474728,5,1424264,5,1484936,6
1440,1386916,4,1436248,5,1457812,6,1403644,5
1500,1370416,5,1428988,4,1477216,5,1412884,6
1560,1326508,5,1473076,5,1473256,5,1402720,5
1620,1381288,5,1459084,5,1382024,5,1460404,5
1680,1345912,5,1483240,5,1430864,5,1399684,5
1740,1419436,5,1461988,5,1407452,5,1424500,5
1800,1389912,4,1415392,4,1454920,6,1453028,6
