timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1035556,2,1010920,2,993096,2,1005660,2
60,1195144,2,1550008,2,1038636,2,1331436,2
120,1267328,2,1541164,2,1079292,2,1385424,2
180,1254392,2,1556212,2,1099752,2,1432812,2
240,1273928,2,1562284,2,1096320,2,1367736,2
300,1261652,2,1553176,2,1119024,2,1416684,2
360,1265216,2,1537864,2,1114668,2,1428168,2
420,1269816,2,1539316,2,1121004,2,1426452,2
480,1289484,2,1539184,2,1127736,2,1365468,2
540,1299120,2,1535224,2,1131960,2,1402824,2
600,1279584,2,1562548,2,1127508,2,1417740,2
660,1309416,2,1540108,2,1123548,2,1346340,2
720,1266912,2,1550400,2,1126716,2,1392672,2
780,1273116,2,1524528,2,1133448,2,1411416,2
840,1285788,2,1572144,2,1127508,2,1406532,2
900,1264008,2,1550892,2,1126716,2,1384488,2
960,1290936,2,1551024,2,1133184,2,1431216,2
1020,1272060,2,1542180,2,1127904,2,1409172,2
1080,1308832,2,1567260,2,1124472,2,1374456,2
1140,1279000,2,1555776,2,1136088,2,1404156,2
1200,1280188,2,1548516,2,1116288,2,1403892,2
1260,1268572,2,1567128,2,1137672,2,1378020,2
1320,1279924,2,1554852,2,1134900,2,1403364,2
1380,1264480,2,1595112,2,1134768,2,1381584,2
1440,1260652,2,1532544,2,1136880,2,1439004,2
1500,1284544,2,1549704,2,1134900,2,1370232,2
1560,1270948,2,1553532,2,1136748,2,1397556,2
1620,1284940,2,1540332,2,1123548,2,1413924,2
1680,1287580,2,1528796,2,1133052,2,1401120,2
1740,1287976,2,1542920,2,1134240,2,1369308,2
1800,1283116,2,1553216,2,1133976,2,1384340,2
