timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1046156,2,983592,2,994308,2,988376,2
60,1318236,2,1352400,2,1268208,2,1325108,2
120,1427004,2,1448892,2,1308872,2,1395860,2
180,1406280,2,1450344,2,1311644,2,1420016,2
240,1409580,2,1468400,2,1328312,2,1409456,2
300,1430172,2,1450976,2,1323956,2,1413548,2
360,1393344,2,1494536,2,1333196,2,1406816,2
420,1433604,2,1490708,2,1295840,2,1398788,2
480,1416180,2,1493348,2,1293464,2,1416872,2
540,1421460,2,1465100,2,1332800,2,1411856,2
600,1412220,2,1434476,2,1313792,2,1396384,2
660,1406020,2,1482524,2,1306348,2,1400212,2
720,1442848,2,1500608,2,1338688,2,1400872,2
780,1433476,2,1465364,2,1315588,2,1401136,2
840,1427272,2,1433816,2,1347004,2,1397968,2
900,1420540,2,1485560,2,1286020,2,1414336,2
960,1418560,2,1456520,2,1324036,2,1408132,2
1020,1450768,2,1448468,2,1311760,2,1405228,2
1080,1420276,2,1488464,2,1302916,2,1393480,2
1140,1413148,2,1471040,2,1317832,2,1413148,2
1200,1395856,2,1470380,2,1332484,2,1380940,2
1260,1410508,2,1454408,2,1321924,2,1398364,2
1320,1439152,2,1453880,2,1300936,2,1379204,2
1380,1460668,2,1465364,2,1334200,2,1388312,2
1440,1435852,2,1467872,2,1307272,2,1406528,2
1500,1416580,2,1470776,2,1289980,2,1384748,2
1560,1428592,2,1426952,2,1340416,2,1392536,2
1620,1446940,2,1421936,2,1335664,2,1416428,2
1680,1409320,2,1489752,2,1321308,2,1368116,2
