timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1007620,3,1021224,3,1021556,3,1020512,3
60,1749604,3,1351488,3,1269980,3,1215280,3
120,1359448,1,1443228,4,1458212,4,1380148,3
180,1463332,3,1404948,3,1482236,3,1435192,3
240,1441024,3,1351224,3,1407260,3,1438096,3
300,1385848,2,1388844,2,1465868,4,1482976,4
360,1468480,2,1342644,4,1366736,3,1420804,3
420,1388356,1,1453656,4,1440524,4,1403512,3
480,1401028,2,1419732,3,1569092,4,1374352,3
540,1470988,3,1390560,3,1412540,3,1404712,3
600,1406564,2,1404816,3,1442844,3,1417516,4
660,1394420,2,1462896,4,1404300,3,1407352,3
720,1406696,3,1388844,3,1353744,3,1380292,3
780,1486424,3,1398876,3,1373148,3,1390932,3
840,1459232,2,1455636,3,1404300,3,1439376,4
900,1395872,2,1456692,3,1411560,3,1455348,4
960,1469528,2,1420524,3,1445676,3,1443864,4
1020,1417256,2,1455900,3,1436304,3,1433436,4
1080,1401152,2,1374896,3,1390896,3,1462608,4
1140,1456724,2,1427940,4,1442808,3,1434492,3
1200,1411976,2,1332504,3,1405056,3,1481748,4
1260,1426496,2,1415664,3,1433040,4,1388424,3
1320,1433776,2,1423320,3,1484660,4,1419444,3
1380,1436812,2,1450088,3,1448492,3,1462740,4
1440,1420972,2,1309772,3,1421036,3,1513956,4
1500,1451596,3,1414976,3,1447964,3,1332852,3
1560,1461364,2,1439792,3,1386056,3,1447572,4
1620,1474828,2,1417088,3,1421696,3,1516608,4
1680,1420840,2,1444676,3,1522940,4,1441236,3
1740,1398136,2,1428836,3,1474364,3,1491000,4
