timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1162284,8,1174988,8,1227476,8,1145136,8
60,1608180,8,1452584,8,1631660,8,1748980,8
120,1697412,1,1591712,6,1688552,11,1591308,14
180,1653720,1,1578380,6,1710744,11,1594116,14
240,1662960,1,1602668,6,1663620,11,1639576,14
300,1717608,1,1636064,9,1678808,11,1599844,11
360,1678056,1,1608872,9,1678016,10,1597864,12
420,1661820,1,1675268,9,1708556,10,1625584,12
480,1678504,1,1542344,5,1710008,10,1715476,16
540,1670328,1,1620092,7,1664980,11,1644112,13
600,1704252,1,1541420,5,1699432,12,1647016,14
660,1724712,1,1638044,10,1640436,10,1612960,11
720,1748244,1,1555940,8,1697856,10,1657576,13
780,1715904,1,1588676,7,1657200,7,1649524,17
840,1719600,1,1661804,7,1712772,11,1603960,13
900,1702704,1,1528252,5,1656340,9,1695640,17
960,1704784,1,1651548,9,1642448,12,1554976,10
1020,1674028,1,1677420,9,1623844,10,1638740,12
1080,1724056,1,1550360,6,1659616,11,1667264,14
1140,1675612,1,1628436,9,1670992,11,1635152,11
1200,1712836,1,1671336,7,1691716,13,1617176,11
1260,1713892,1,1583688,6,1578196,9,1754292,16
1320,1743852,1,1691400,13,1568824,6,1549560,12
1380,1660956,1,1559532,5,1650928,8,1700700,18
1440,1742136,1,1641744,8,1707292,10,1655028,13
1500,1692372,1,1589208,4,1696864,12,1673112,15
1560,1702404,1,1729944,7,1613968,10,1670892,14
1620,1669800,1,1521384,1,1699308,15,1720260,15
1680,1733028,1,1601376,8,1640304,12,1633444,11
1740,1678116,1,1726512,7,1637188,13,1652320,11
1800,1609608,1,1521516,1,1703224,15,1733896,15
