timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,978004,3,977548,3,978292,3,974040,3
60,1182472,3,1340944,3,1186720,3,1094952,3
120,1449904,3,1499080,3,1399636,3,1290840,3
180,1503336,3,1495212,3,1415080,3,1258500,3
240,1470336,3,1531776,3,1383068,3,1304952,3
300,1467880,3,1523724,3,1420688,3,1289244,3
360,1433560,3,1558440,3,1389404,3,1328976,3
420,1495972,3,1520364,3,1403264,3,1318020,3
480,1449376,3,1528548,3,1407092,3,1324488,3
540,1439344,3,1523324,3,1411844,3,1325808,3
600,1472212,3,1514480,3,1363664,3,1330164,3
660,1474588,3,1531640,3,1401416,3,1311024,3
720,1467856,3,1506956,3,1420556,3,1311684,3
780,1471156,3,1530584,3,1421972,3,1287660,3
840,1445944,3,1496132,3,1441376,3,1321056,3
900,1431160,3,1531904,3,1411148,3,1293204,3
960,1492672,3,1539692,3,1412676,3,1308252,3
1020,1483300,3,1501860,3,1423492,3,1320132,3
1080,1466404,3,1524432,3,1400260,3,1308516,3
1140,1463632,3,1534860,3,1412800,3,1368444,3
1200,1461520,3,1522584,3,1408708,3,1342440,3
1260,1460332,3,1528128,3,1388644,3,1319208,3
1320,1481056,3,1533672,3,1418608,3,1306272,3
1380,1451884,3,1540536,3,1407548,3,1313928,3
1440,1495840,3,1504368,3,1381940,3,1332804,3
1500,1501252,3,1514112,3,1386692,3,1309440,3
1560,1428916,3,1557144,3,1402268,3,1328316,3
1620,1481916,3,1506456,3,1429988,3,1316504,3
1680,1472808,3,1557144,3,1372832,3,1357680,3
1740,1458552,3,1510284,3,1391840,3,1314384,3
1800,1475052,3,1529952,3,1418768,3,1293280,3
