timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1102384,8,1095172,8,1098156,8,1058168,8
60,1102516,8,1094380,8,1101984,8,1068464,8
120,1135120,7,1135360,9,1109508,8,1114376,8
180,1116772,5,1110572,6,1293216,15,1102208,6
240,1272268,15,1196636,7,1253352,7,1091072,3
300,1319128,4,1173140,4,1235264,8,1271120,16
360,1259464,12,1178816,6,1302056,7,1346672,7
420,1190824,7,1274112,6,1215464,8,1326080,11
480,1128652,4,1290752,10,1296900,8,1327652,10
540,1369156,9,1374704,11,1358284,6,1290428,6
600,1369948,7,1287944,9,1221268,6,1345076,10
660,1381432,5,1266824,13,1330168,7,1311740,7
720,1366912,3,1420584,7,1481968,10,1409420,12
780,1490068,9,1230664,4,1253188,7,1407584,12
840,1398196,1,1445956,7,1485376,8,1477792,16
900,1500496,7,1305772,9,1263088,6,1388956,10
960,1415224,1,1390120,15,1312324,11,1376416,5
1020,1460500,1,1509828,9,1564860,13,1430196,9
1080,1443604,1,1611204,10,1577912,11,1406436,10
1140,1473172,1,1409508,4,1690880,16,1444716,11
1200,1283224,1,1378752,1,1274344,9,1594140,21
1260,1363084,1,1185372,8,1460332,7,1568412,16
