timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1136020,8,1170516,8,1227132,8,1226956,8
60,1454724,8,1349904,8,1569276,8,1684672,8
120,1558740,8,1452996,8,1676600,8,1712052,8
180,1596756,8,1418016,8,1665776,8,1695948,8
240,1626692,8,1483324,8,1661156,8,1700040,8
300,1593956,8,1449664,8,1649832,8,1742412,8
360,1619920,8,1443460,8,1719528,8,1686268,8
420,1603224,8,1440424,8,1686528,8,1739464,8
480,1602872,8,1427752,8,1703292,8,1720588,8
540,1629524,8,1416664,8,1721376,8,1749628,8
600,1627808,8,1452304,8,1672496,8,1724284,8
660,1585452,8,1474084,8,1679756,8,1717948,8
720,1599576,8,1452304,8,1674476,8,1745800,8
780,1616868,8,1437692,8,1665764,8,1753324,8
840,1635348,8,1420532,8,1671308,8,1750948,8
900,1610628,8,1495508,8,1719356,8,1719928,8
960,1613796,8,1457228,8,1683180,8,1749760,8
1020,1644636,8,1478348,8,1675920,8,1714912,8
1080,1652160,8,1441916,8,1702848,8,1740124,8
1140,1600020,8,1451420,8,1706280,8,1776148,8
1200,1644248,8,1466072,8,1684236,8,1726120,8
1260,1632236,8,1435316,8,1667208,8,1737604,8
1320,1610556,8,1469636,8,1673940,8,1776516,8
1380,1641048,8,1432808,8,1680408,8,1752368,8
1440,1583760,8,1449044,8,1719348,8,1768868,8
1500,1620720,8,1466996,8,1674072,8,1748540,8
1560,1620192,8,1469384,8,1726212,8,1723328,8
1620,1619004,8,1437968,8,1683444,8,1749332,8
1680,1608444,8,1494200,8,1684172,8,1765964,8
1740,1654512,8,1465688,8,1654868,8,1769924,8
1800,1648044,8,1448132,8,1670180,8,1757516,8
