timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1122848,8,1129604,8,1103988,8,1107892,8
60,1468688,8,1610216,8,1581696,8,1478152,8
120,1552376,8,1546500,9,1438608,8,1490428,7
180,1555016,8,1493832,8,1399404,8,1547980,8
240,1420804,8,1379688,8,1691576,8,1526472,8
300,1417040,8,1666196,8,1478660,8,1374540,8
360,1642536,8,1550564,8,1555444,8,1512756,8
420,1550796,8,1428332,8,1483148,8,1418848,8
480,1578252,8,1691144,8,1523804,8,1544908,8
540,1742988,9,1462728,8,1417016,7,1522468,8
600,1570364,8,1489408,8,1372664,8,1497940,8
660,1486280,8,1501684,8,1509812,8,1670728,8
720,1528028,8,1479348,8,1412000,8,1660564,8
780,1681808,8,1515060,8,1368752,8,1500876,8
