timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1103844,5,1062336,5,1092968,5,1081224,5
60,1104480,5,1066560,5,1094684,5,1082148,5
120,1171536,5,1103652,5,1164568,5,1162800,5
180,1287036,5,1177836,5,1256044,5,1280016,5
240,1354356,5,1251756,5,1340920,5,1349448,5
300,1442132,5,1290960,5,1396756,5,1422180,5
360,1498232,5,1336104,5,1463416,5,1497288,5
420,1523312,5,1357620,5,1489776,5,1515884,5
480,1590896,5,1386924,5,1509680,5,1559180,5
540,1625348,5,1391412,5,1541700,5,1590072,5
600,1660724,5,1421376,5,1574700,5,1626108,5
660,1737020,5,1421640,5,1577496,5,1662304,5
720,1765136,5,1453716,5,1634180,5,1725904,5
780,1778280,5,1447644,5,1677416,5,1767280,5
840,1819700,5,1431804,5,1733348,5,1778500,5
900,1812548,5,1427580,5,1715000,5,1787080,5
960,1826136,5,1439988,5,1738364,5,1805296,5
1020,1816504,5,1468292,5,1723412,5,1820452,5
1080,1842316,5,1487168,5,1721828,5,1795016,5
1140,1868512,5,1438000,5,1724600,5,1797604,5
1200,1844020,5,1469812,5,1727204,5,1823612,5
1260,1882816,5,1446108,5,1778024,5,1808960,5
1320,1897292,5,1450860,5,1718888,5,1659008,5
1380,1939544,5,1388832,5,1580288,5,1598288,5
1440,1942820,5,1399524,5,1617512,5,1530044,5
1500,1944044,5,1367844,5,1525508,5,1580732,5
1560,1950888,5,1340784,5,1622396,5,1491764,5
