timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1032140,5,1074756,5,1110176,5,1014056,5
60,1036232,5,1077396,5,1113376,5,1014188,5
120,1076600,4,1106120,4,1163932,6,1068948,6
180,1157648,1,1183632,1,1476552,18,1089804,0
240,997656,1,1024572,1,1293544,2,966120,16
300,1034616,1,1079352,1,1080056,18,1338588,0
360,1283304,20,1029984,0,1900036,0,981080,0
420,1880364,1,1175844,19,954424,0,982268,0
480,1028188,1,1857528,19,952480,0,980948,0
540,1030300,1,1888668,3,1003432,3,980684,13
600,1005240,1,1086940,1,1175956,18,1908284,0
660,1017516,1,1012624,1,1900112,1,1066260,17
720,1037316,1,1014604,1,1089484,18,1861228,0
780,1124568,20,999504,0,1878140,0,973400,0
840,1884456,1,1117512,19,974528,0,972476,0
900,1884456,1,1117512,19,974528,0,972476,0
960,1018388,1,0,19,973072,0,970100,0
1020,1017200,1,0,19,974128,0,975908,0
