timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1081024,8,1182668,8,1090436,8,1109820,8
60,1364272,8,1632392,8,1462280,8,1401012,8
120,1696912,8,1826080,8,1667408,8,1593072,8
180,1721068,8,1810000,8,1751756,8,1624488,8
240,1738756,8,1825112,8,1767992,8,1641780,8
300,1771228,8,1824716,8,1760204,8,1692600,8
360,1788916,8,1778216,8,1766492,8,1671216,8
420,1797760,8,1842168,8,1791836,8,1693232,8
480,1828912,8,1808244,8,1786820,8,1713312,8
540,1793932,8,1821576,8,1833152,8,1689156,8
600,1822444,8,1830420,8,1800020,8,1714500,8
660,1803040,8,1825060,8,1791968,8,1722816,8
720,1823632,8,1833904,8,1803452,8,1751724,8
780,1815580,8,1817800,8,1791388,8,1749348,8
840,1789576,8,1875972,8,1758124,8,1745388,8
