timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1038180,2,936264,2,940368,2,936012,2
60,1049796,2,946956,2,944724,2,941556,2
120,1111308,2,1002000,2,1000296,2,1006368,2
180,1111044,1,977204,1,1078176,3,1097116,3
240,1132164,2,967568,2,1026696,2,1048540,2
300,1163004,1,1129400,2,1075140,2,1111900,3
360,1182540,1,1114748,2,1117644,2,1158496,3
420,1226628,1,1185764,2,1141800,2,1174336,3
480,1249596,1,1186556,2,1188792,2,1207336,3
540,1284972,1,1192364,2,1203180,2,1200736,3
600,1272592,1,1265624,2,1218492,2,1235716,3
660,1331332,1,1248464,2,1223640,2,1287988,3
720,1368824,1,1281464,2,1242912,2,1292476,3
780,1368956,1,1309448,2,1245948,2,1287592,3
840,1405388,1,1331624,2,1251228,2,1299340,3
900,1412252,1,1267604,1,1281160,3,1293664,3
960,1455680,1,1263116,1,1339108,3,1255252,3
1020,1481264,1,1236584,1,1319044,3,1308184,3
1080,1535080,1,1247804,1,1280688,3,1262600,3
1140,1555792,1,1276976,1,1340748,3,1270652,3
1200,1565892,1,1257968,1,1283724,2,1327148,4
1260,1606152,1,1259420,1,1230536,2,1329128,4
1320,1630044,1,1288724,1,1313168,3,1305896,3
1380,1661988,1,1271960,1,1337060,3,1289396,3
1440,1684428,1,1280144,1,1388276,3,1282532,3
1500,1696044,1,1259024,1,1308416,3,1270124,3
1560,1742244,1,1275788,1,1395536,3,1309724,3
1620,1796892,1,1301264,1,1368740,3,1247036,3
1680,1789104,1,1275128,1,1320316,3,1271852,3
1740,1840584,1,1335848,1,1313252,3,1316072,3
1800,1861508,1,1322516,1,1276292,2,1299176,4
