timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,948628,2,1030292,2,1013864,2
60,1026772,2,1104212,2,1059140,2
120,1067428,2,1145000,2,1212920,2
180,1140028,2,1273964,2,1235888,2
240,1196128,2,1337324,2,1314084,2
300,1255528,2,1368080,2,1376124,2
360,1314004,2,1443528,2,1401204,2
420,1361820,2,1480884,2,1455984,2
480,1399572,2,1518108,2,1501392,2
540,1463952,2,1588464,2,1540464,2
600,1543680,2,1519164,2,1519448,2
660,1538136,1,1579620,3,1543208,2
720,1560708,1,1618032,3,1590860,2
780,1612916,1,1489200,2,1544924,3
840,1649348,1,1671320,3,1589672,2
900,1673108,1,1602548,2,1693080,3
960,1758068,1,1539124,2,1584444,3
1020,1805592,1,1415176,2,1517388,3
1080,1818580,1,1513120,3,1477276,2
1140,1818580,1,1513120,2,1477276,3
1200,1819344,1,1353928,5,959044,0
1260,1822876,1,1174144,3,1093420,2
1320,1822876,1,1174144,2,1093420,3
1380,1793152,1,1393264,5,963532,0
1440,1793152,1,1393264,3,963532,2
1500,1819892,1,1222076,1,1141072,4
1560,1824120,1,1148816,3,1357220,2
