timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1073696,3,976836,3,1081084,3,969492,3
60,1102008,3,987660,3,1096924,3,982428,3
120,1136404,3,1014192,3,1183912,3,1047504,3
180,1207288,3,1126260,3,1207012,3,1120744,3
240,1292692,4,1138800,3,1249120,2,1163380,3
300,1306420,3,1169952,3,1289512,3,1183452,3
360,1291900,3,1227900,3,1351552,3,1229340,3
420,1349848,3,1317264,3,1361320,3,1264452,3
480,1371752,3,1311556,3,1410556,3,1272768,3
540,1433660,3,1321324,3,1404112,3,1331772,3
600,1479992,3,1377424,3,1449388,3,1317124,3
