timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1067872,8,1090236,8,1090780,8,1090320,8
60,1398572,8,1267668,8,1392420,8,1468588,8
120,1425500,1,1361732,9,1368196,9,1367348,13
180,1380752,1,1346872,7,1381528,9,1481000,15
240,1382468,1,1400260,10,1411808,11,1448528,10
300,1395008,1,1438240,11,1394780,10,1451132,10
360,1404248,1,1431304,11,1368920,6,1455240,14
420,1393160,1,1421224,10,1464620,10,1433148,11
480,1370588,1,1434960,11,1462720,8,1447008,12
540,1398572,1,1400244,9,1450196,12,1439880,10
600,1373624,1,1429152,10,1433696,10,1436580,11
660,1397780,1,1390608,9,1452968,10,1486740,12
720,1400288,1,1442484,14,1443876,9,1410356,8
780,1379564,1,1441464,11,1479820,8,1470976,12
840,1400816,1,1419564,10,1444048,12,1447216,9
900,1375472,1,1445704,10,1457452,12,1447744,9
960,1376264,1,1404520,10,1473604,9,1476916,12
1020,1400816,1,1430260,9,1437700,11,1452628,11
1080,1382600,1,1445176,11,1450372,7,1500560,13
1140,1400024,1,1441612,10,1449316,8,1475632,13
1200,1387220,1,1466956,11,1437700,12,1451476,8
1260,1391180,1,1470284,11,1473472,10,1454116,10
