timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,178280,2,202776,2,178148,2
60,201624,2,226604,2,204568,2
120,296668,2,375688,2,375156,2
180,444092,2,518944,2,500748,2
240,533940,2,524756,2,508212,2
300,634928,2,521108,2,522252,2
360,764500,2,510652,2,487852,2
420,890172,2,534232,2,511396,2
480,1026636,2,526588,2,424448,2
540,1110340,2,524988,2,483076,2
600,1200848,2,502276,2,479272,2
660,1331240,2,553048,2,501028,2
720,1397568,2,512116,2,492352,2
780,1489424,2,542832,2,465028,2
840,1492404,2,510536,2,482792,2
900,1469012,2,506916,2,469068,2
960,1508684,2,564096,2,489536,2
1020,1477056,2,499624,2,474856,2
1080,1478644,2,482360,2,499500,2
1140,1511176,2,545776,2,462772,2
1200,1458100,2,572676,2,541768,2
1260,1478540,2,521096,2,442580,2
1320,1506360,2,545988,2,493272,2
1380,1494296,2,565172,2,511764,2
1440,1480212,2,541292,2,502748,2
1500,1466840,2,573696,2,578908,2
1560,1498668,2,543796,2,586140,2
1620,1477304,2,693304,2,543788,2
1680,1480160,2,611160,2,730652,2
1740,1479316,2,622196,2,569004,2
1800,1489156,2,561948,2,823796,2
