timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1071520,8,1063960,8,1069452,8,1067464,8
60,1077064,8,1072936,8,1075260,8,1075780,8
120,1125540,8,1138252,8,1119920,8,1108492,8
180,1164508,8,1194028,8,1155520,8,1135756,8
240,1197520,8,1216788,8,1188600,8,1168340,8
300,1232264,8,1241040,8,1226596,8,1200796,8
360,1273044,8,1239060,8,1262104,8,1231128,8
420,1302516,8,1267176,8,1286436,8,1256372,8
480,1326276,8,1270344,8,1317380,8,1282112,8
540,1348696,8,1297636,8,1350792,8,1324868,8
600,1373472,8,1296540,8,1368416,8,1346768,8
660,1394488,8,1336412,8,1395892,8,1376936,8
720,1402448,8,1355520,8,1408172,8,1416724,8
780,1435872,8,1355360,8,1425064,8,1440552,8
840,1456800,8,1340312,8,1439716,8,1483888,8
900,1468432,8,1404948,8,1450144,8,1496956,8
960,1472064,8,1352148,8,1481168,8,1530588,8
1020,1488908,8,1392956,8,1473300,8,1569184,8
1080,1468732,8,1341476,8,1483464,8,1629576,8
1140,1467924,8,1374952,8,1482880,8,1653128,8
1200,1506996,8,1394224,8,1491812,8,1684220,8
1260,1507260,8,1378252,8,1512800,8,1727132,8
1320,1494800,8,1391452,8,1513988,8,1741096,8
1380,1520540,8,1400032,8,1539724,8,1774944,8
1440,1508528,8,1385400,8,1530988,8,1804908,8
1500,1492660,8,1400976,8,1523992,8,1805176,8
1560,1503776,8,1367316,8,1516012,8,1817652,8
1620,1502060,8,1374840,8,1544440,8,1845176,8
1680,1537436,8,1372464,8,1534936,8,1859660,8
1740,1526216,8,1395512,8,1566748,8,1850580,8
1800,1505624,8,1351252,8,1523188,8,1893512,8
