timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1071448,2,1018748,2,1031936,2,1027892,2
60,1286080,2,1345052,2,1197860,2,1157780,2
120,1270108,1,1132400,2,1306588,2,1270112,3
180,1229188,2,1294892,2,1264348,2,1252556,2
240,1389832,2,1338452,2,1208116,2,1323176,2
300,1365164,1,1388480,2,1242436,2,1285688,3
360,1336124,1,1271660,1,1265404,3,1196588,3
420,1337444,1,1309544,1,1188844,3,1301660,3
480,1202936,1,1058256,2,1182640,2,1230644,3
540,1197524,1,1244024,2,1234648,2,1389308,3
600,1293620,2,1082324,2,1245208,2,1213484,2
660,1419944,2,1388168,2,1242172,2,1224440,2
720,1132184,1,1180136,2,1235308,3,1285160,2
780,1217456,1,1232012,3,1367704,2,1190648,2
840,1140104,2,1284152,2,1271344,2,1160552,2
900,1300880,1,1169180,2,1282696,2,1362116,3
960,1388132,2,1359392,2,1357276,2,1342448,2
1020,1117532,1,1238348,2,1162312,3,1291628,2
1080,1340744,1,1332200,2,1284016,2,1206488,3
1140,1136032,1,1231616,1,1375756,4,1231436,2
1200,1296808,2,1134772,2,1131028,2,1291100,2
1260,1203444,1,1103180,2,1388956,3,1201868,2
1320,1124244,2,1211948,2,1277944,2,1266548,2
1380,1265952,1,1182644,2,1208512,2,1282916,3
1440,1188996,1,1322200,2,1254844,2,1330832,3
1500,1289052,2,1256596,2,1142380,2,1269584,2
1560,1208268,1,1179376,3,1274512,2,1362512,2
1620,1153884,2,1226632,2,1323220,2,1196720,2
1680,1331424,1,1253824,2,1242568,3,1304120,2
1740,1226088,2,1193236,2,1370608,2,1350848,2
1800,1205496,2,1218184,2,1322164,2,1327088,2
