timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1826728,1307064351,10,1897492,1467486495,10,1589700,909812078,10,1614484,817339120
60,10,1749640,1120638645,10,1638144,882597976,10,1587424,684256414
120,10,1803892,939724995,10,1671408,690715868,10,1638904,591771534
180,10,1850320,1229028319,10,1703880,966383249,10,1693816,745393855
240,10,1822928,1227243137,0,0,0,10,1747836,977472458,10,1702396,803285126
300,10,1728416,917715028,10,1651872,695096554,10,1629532,525588300
360,10,1877236,1185534782,10,1784532,877818110,10,1723648,737505075
420,10,1858968,1182168018,10,1762356,940220117,10,1745296,791018420
480,10,1856064,1188467349,10,1763808,968289971,10,1733020,775849448
540,10,1707412,1014236662,10,1693320,888733728,10,1663984,669140711
600,10,1858024,1016930318,10,1784136,686320689,10,1724308,540474768
