timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,945964,2,946976,2,947296,2,946712,2
60,1286136,2,1356672,2,1470596,2,1399780,2
120,1348008,1,1349988,2,1396624,3,1373072,2
180,1389180,2,1414932,2,1318216,2,1363700,2
240,1305096,1,1413848,2,1345408,2,1445400,3
300,1345488,1,1448132,3,1394116,2,1348912,2
360,1334400,2,1433984,2,1372996,2,1406860,2
420,1371756,1,1394252,2,1416952,3,1368052,2
480,1407396,2,1396628,2,1344088,2,1405408,2
540,1425344,2,1418936,2,1328380,2,1361848,2
600,1372220,2,1401116,2,1401508,2,1351024,2
660,1406936,2,1402436,2,1392400,2,1372144,2
720,1401128,2,1415484,2,1349104,2,1361716,2
780,1293696,1,1416804,2,1480972,3,1375576,2
840,1420796,2,1390932,2,1361908,2,1344556,2
900,1401656,2,1407696,2,1369176,2,1351948,2
960,1404296,2,1382484,2,1362708,2,1398676,2
1020,1341860,1,1470000,3,1351884,2,1342444,2
1080,1415252,2,1424988,2,1376740,2,1372972,2
1140,1412568,2,1430928,2,1362008,2,1375900,2
1200,1419036,2,1337076,2,1396328,2,1365544,2
1260,1391844,2,1397080,2,1417712,2,1391416,2
1320,1438440,2,1414372,2,1363196,2,1442104,2
1380,1369020,1,1416352,2,1375916,2,1452136,3
1440,1446504,2,1411732,2,1345284,2,1381612,2
1500,1342620,1,1472584,2,1399272,2,1383724,3
1560,1404264,2,1456084,2,1362340,2,1372020,2
1620,1358460,1,1432060,2,1360096,2,1432344,3
1680,1424856,2,1411336,2,1363132,2,1413008,2
1740,1433568,2,1434832,2,1364628,2,1386740,2
1800,1439244,2,1407112,2,1331892,2,1329452,2
