timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1285620,4,1260816,4,1271680,4
60,1580680,4,1630416,4,1640884,4
120,1828444,4,1959228,4,1815652,4
180,1877680,4,1800340,4,1874260,4
240,2035156,4,1901716,4,2127832,4
300,2668096,4,2101300,4,2108560,4
360,2454652,4,2108692,4,2194360,4
420,2606584,4,2180632,4,2386948,4
480,3173788,4,2294736,4,2226436,4
540,2109340,2,1850688,5,2340616,5
600,2741752,2,2113236,4,2763940,6
660,2092312,1,1817176,5,2484628,6
720,2550352,1,2124736,5,2314876,6
780,2125840,1,2415152,6,2374276,5
840,2595100,2,1972092,5,2158456,5
900,2442376,1,2023968,5,2180500,6
960,2561572,1,2498904,5,2465092,6
1020,2954536,1,2576916,5,2878780,6
1080,2743204,1,3603848,6,2835484,5
1140,3563980,2,2903352,4,3154660,6
1200,3065496,1,3357684,5,2973556,6
1260,1538208,2,3116852,4,3281392,6
1320,1943712,4,1626440,4,1847392,4
1380,2158740,3,1945484,4,2110652,5
1440,2823624,4,2075768,4,1833320,4
1500,2311200,2,2342612,5,2457284,5
1560,3380532,3,2048120,5,1773392,4
1620,2493512,1,2190944,5,2367128,6
1680,3449588,1,2398856,5,2606444,6
1740,2928892,1,3083988,5,2612912,6
1800,2930804,1,2364864,6,2675480,5
