timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1099948,5,1041096,5,1050192,5,1043484,5
60,1660172,5,1447128,5,1375916,5,1446480,5
120,1681424,5,1566720,5,1484832,5,1596960,5
180,1695020,5,1598532,5,1521264,5,1559308,5
240,1711860,5,1611600,5,1515816,5,1591648,5
300,1674372,5,1575300,5,1560960,5,1596400,5
360,1726776,5,1636944,5,1497864,5,1579108,5
420,1697472,5,1599060,5,1520172,5,1610524,5
480,1703016,5,1589820,5,1535616,5,1613956,5
540,1701300,5,1589424,5,1548552,5,1622536,5
600,1706448,5,1598520,5,1534692,5,1568944,5
660,1687572,5,1633104,5,1507764,5,1627156,5
720,1723740,5,1622756,5,1518588,5,1574884,5
780,1733508,5,1610084,5,1509216,5,1619896,5
840,1756608,5,1604144,5,1530336,5,1581352,5
900,1693116,5,1564808,5,1564656,5,1599436,5
960,1716612,5,1622932,5,1523208,5,1594420,5
1020,1736412,5,1626628,5,1555416,5,1590924,5
1080,1773372,5,1610364,5,1508952,5,1583928,5
1140,1724928,5,1589904,5,1532052,5,1616004,5
1200,1735780,5,1586028,5,1513124,5,1610724,5
1260,1684036,5,1627080,5,1510088,5,1623528,5
1320,1703308,5,1612164,5,1572128,5,1607160,5
1380,1738288,5,1595068,5,1563416,5,1593696,5
1440,1752808,5,1612756,5,1537148,5,1551720,5
