timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1159324,2,1190216,2,1136280,2
60,1748572,3,1324064,1,1985700,2
120,2453056,2,2062472,2,2530464,2
180,2049268,1,2796656,3,3293820,2
240,2490544,2,2484212,2,2297556,2
300,2905684,1,2276400,2,3717020,3
360,2759824,1,2918184,3,2652196,2
420,0,2,0,2,0,2
480,2719564,2,2610476,2,2633784,2
540,2719564,1,2610476,3,2633784,2
600,0,0,0,4,0,2
660,906760,0,2555484,4,3323232,2
720,906760,1,2555484,3,3323232,2
780,1145416,2,2908056,2
840,2302132,3,2259936,1,2433472,2
900,3247516,4,2257428,1,1238476,1
960,2968404,3,2220600,1,1780204,2
1020,3033348,2,2805360,1,2410372,3
1080,3033348,1,2805360,1,2410372,4
1140,883588,0,3082164,1,2666368,5
1200,1132804,1,935976,0,3010492,5
1260,1555336,2,935316,0,2744160,4
1320,2120956,2,1197468,1,2692020,3
1380,1903796,1,1966896,2,2880748,3
1440,2199612,2,2748996,2,3057232,2
1500,3129076,3,2367912,1,2519500,2
1560,2271316,2,1975476,1,2388436,3
1620,1875448,1,1632144,2,3232972,3
1680,1836244,1,1679004,3,1947560,2
1740,927688,0,1727448,4,1943996,2
1800,969664,1,1683756,3,1900436,2
