timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,962940,3,961328,3,960740,3,959932,3
60,1141800,3,1169888,3,1125476,3,1030156,3
120,1386528,3,1407356,3,1288760,3,1173244,3
180,1408440,3,1400228,3,1318724,3,1216012,3
240,1369764,3,1409864,3,1324268,3,1231588,3
300,1376100,3,1415276,3,1318724,3,1254424,3
360,1373504,3,1425044,3,1324532,3,1254292,3
420,1414820,3,1419368,3,1300640,3,1254288,3
480,1364660,3,1400756,3,1344596,3,1256928,3
540,1394416,3,1433492,3,1314368,3,1259964,3
600,1410652,3,1401680,3,1304212,3,1258776,3
660,1427152,3,1426892,3,1332592,3,1268544,3
720,1418176,3,1424120,3,1334308,3,1237920,3
780,1367684,3,1445636,3,1338532,3,1262868,3
840,1395008,3,1458308,3,1324856,3,1254024,3
900,1360556,3,1457384,3,1335212,3,1236864,3
960,1379564,3,1434284,3,1318580,3,1259964,3
1020,1390652,3,1455404,3,1315676,3,1243708,3
1080,1391180,3,1458440,3,1325048,3,1256644,3
1140,1369532,3,1430192,3,1351844,3,1263244,3
1200,1391748,3,1441544,3,1305908,3,1268392,3
1260,1368384,3,1411448,3,1367288,3,1259400,3
1320,1392936,3,1432964,3,1336928,3,1263888,3
1380,1412208,3,1413432,3,1310264,3,1252372,3
1440,1372608,3,1484032,3,1334024,3,1257784,3
1500,1389372,3,1456312,3,1338644,3,1236400,3
1560,1349248,3,1444036,3,1358972,3,1251712,3
1620,1346740,3,1486276,3,1312508,3,1250884,3
1680,1388584,3,1434136,3,1332044,3,1277680,3
