timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,925576,2,985928,2,970064,2
60,1114864,2,1180892,2,1169252,2
120,1152880,2,1181156,2,1094012,2
180,1227460,2,1236992,2,1201856,2
240,1187932,1,1254416,2,1243040,3
300,1172092,1,1246100,2,1250300,3
360,1202452,2,1225904,2,1186544,2
420,1185820,1,1239236,2,1268384,3
480,1214992,2,1154492,2,1170440,2
540,1204036,1,1219436,3,1172420,2
600,1213012,1,1252304,3,1219016,2
660,1212748,2,1203464,2,1194860,2
720,1207600,1,1178156,2,1166348,3
780,1205092,1,1286924,3,1244096,2
