timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,968832,3,947556,5,953012,4
60,1295664,3,1337880,5,1227976,4
120,1550820,3,2056356,5,1741192,4
180,2006088,3,2612856,5,2163856,4
240,2491056,3,3374364,5,2818312,4
300,2811048,3,3734144,5,2865568,4
360,2503320,3,2871948,5,2941996,4
420,3022212,3,3711768,5,3734592,4
480,2963076,3,3727900,5,3515136,4
540,3422568,3,2894872,5,3135484,4
600,3422568,3,2894872,5,3135484,4
660,3422568,3,2894872,5,3135484,4
720,3172348,3,2894872,5,3135484,4
780,3738452,3,2894872,5,3028792,4
840,3738452,3,2894872,5,3028792,4
900,3733608,3,2803436,5,3737180,4
960,2328552,3,3646224,5,2889180,4
1020,3328056,3,3725808,5,3308344,4
1080,3714244,3,3000552,5,3735592,4
1140,3714244,3,3000552,5,3735592,4
1200,2917708,3,3722168,5,3735592,4
1260,3264472,3,3065212,5,3045596,4
1320,2927740,3,3131476,5,2613264,4
1380,2177584,3,2978336,5,2211356,4
1440,2172700,3,2245076,5,1746680,4
1500,2179036,3,1882164,5,1750012,4
1560,2175576,3,1881192,5,1747636,4
1620,2179404,3,1882644,5,1748692,4
1680,2180064,3,1883700,5,1748296,4
1740,2176148,3,1881800,5,1750012,4
1800,2176148,3,1880652,5,1747372,4
