timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1073424,5,1093380,5,990356,5,984816,5
60,1819752,5,1315536,5,1127016,5,1320888,5
120,1362872,4,1477636,5,1340292,5,1390056,6
180,1473884,5,1485388,5,1404444,5,1351644,5
240,1433756,4,1419976,5,1357716,5,1421076,6
300,1436924,4,1497988,6,1387020,5,1396128,5
360,1479032,4,1480300,5,1429088,6,1455660,5
420,1394552,4,1511188,5,1420904,5,1356000,6
480,1469528,5,1525412,5,1401368,5,1401684,5
540,1458308,4,1522508,5,1432784,6,1411056,5
600,1391780,4,1503764,6,1422884,5,1444584,5
660,1410128,4,1550228,6,1402788,5,1438776,5
720,1481804,5,1487792,5,1406308,5,1397844,5
780,1424252,4,1491752,5,1471384,5,1408008,6
840,1488272,5,1563132,5,1359844,5,1393488,5
900,1482332,5,1549800,5,1402084,5,1374348,5
960,1446560,4,1493120,5,1378984,5,1432956,6
1020,1432712,4,1545392,5,1429144,6,1381792,5
1080,1492640,4,1536680,5,1395748,5,1413952,6
1140,1462808,4,1548916,6,1452884,5,1408144,5
1200,1418192,4,1524760,5,1418432,6,1386364,5
1260,1411064,4,1518160,5,1419224,5,1423172,6
1320,1440236,4,1497964,5,1436384,5,1397716,6
1380,1502936,4,1541804,6,1410116,5,1419892,5
1440,1470464,4,1544048,5,1499460,6,1418176,5
1500,1475216,4,1463884,5,1511736,6,1440924,5
1560,1487360,4,1531408,6,1398216,5,1422840,5
1620,1511512,5,1470424,5,1388316,5,1387244,5
1680,1457260,4,1471612,5,1410888,5,1400056,6
1740,1453696,4,1486396,5,1396540,5,1432648,6
