timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1002316,3,1017868,3,1013448,3,1018968,3
60,1466956,3,1291068,3,1205112,3,1156908,3
120,1256812,2,1236304,4,1284180,3,1321908,3
180,1271464,3,1294384,3,1253688,3,1309200,3
240,1324528,3,1250560,3,1253556,3,1247160,3
300,1273180,2,1265452,3,1307676,3,1300356,4
360,1272916,2,1284056,3,1292628,3,1315272,4
420,1313968,3,1266236,3,1276656,3,1262072,3
480,1279384,3,1311380,3,1283988,3,1282400,3
540,1311988,3,1312700,3,1273032,3,1295204,3
600,1327828,3,1255808,3,1297188,3,1306104,3
660,1287964,2,1283528,4,1306824,3,1288020,3
720,1282420,3,1268348,3,1278748,3,1322032,3
780,1270276,2,1270564,3,1299208,3,1325728,4
840,1261300,2,1313464,4,1282576,3,1292728,3
900,1271728,2,1340392,3,1342240,4,1303288,3
960,1265920,2,1334584,3,1266208,3,1344736,4
1020,1279120,3,1318216,3,1273072,3,1286292,3
1080,1289548,3,1316764,3,1297168,3,1310184,3
1140,1307632,2,1265416,3,1288720,3,1303452,4
1200,1232524,2,1278220,3,1386136,4,1317940,3
1260,1282948,2,1373908,4,1323568,3,1267252,3
1320,1303960,2,1329820,3,1318948,4,1297876,3
1380,1253856,2,1338576,4,1334888,3,1303204,3
1440,1356156,3,1307424,3,1260440,2,1360624,4
1500,1249236,3,1336860,2,1304132,3,1328856,4
