timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,983104,2,1050616,2,1005080,2
60,1013332,2,1077544,2,1033328,2
120,1061512,3,1107228,1,1059728,2
180,1175428,4,1098904,0,1106720,2
240,1329736,3,1053496,1,1160840,2
300,1347028,2,1125096,2,1179716,2
360,1132000,1,1304616,3,1211196,2
420,1098604,2,1525716,2,1251060,2
480,1192984,3,1333392,1,1279176,2
540,1471636,4,1269372,0,1307424,2
600,1694056,3,1052052,1,1323528,2
660,1463056,2,1174416,2,1348872,2
720,1408012,1,1459932,3,1384512,2
780,1125268,2,1720632,2,1395072,2
840,1265716,3,1666908,1,1413420,2
900,1588192,4,1345752,0,1438500,2
960,1866260,3,1054428,1,1373160,2
1020,1782308,2,1182996,2,1436388,2
1080,1489864,1,1584144,3,1557828,2
1140,1126960,2,1837860,2,1482192,2
1200,1269256,3,1755096,1,1512288,2
1260,1630992,4,1327680,0,1612344,2
1320,1876952,3,972996,1,1415928,2
