timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1031080,3,1052400,3,1047524,3,1041364,3
60,1294024,3,1354284,3,1281032,3,1179172,3
120,1317520,3,1407136,3,1322876,3,1239908,3
180,1343128,3,1401088,3,1328156,3,1270400,3
240,1339036,3,1402904,3,1328552,3,1270632,3
300,1356856,3,1412540,3,1320104,3,1276176,3
360,1337188,3,1436696,3,1343600,3,1283964,3
420,1364380,3,1406616,3,1343468,3,1274196,3
480,1366756,3,1432884,3,1343864,3,1251624,3
540,1335076,3,1427076,3,1369472,3,1295448,3
600,1370452,3,1417836,3,1360404,3,1264296,3
660,1346296,3,1399488,3,1331496,3,1303620,3
720,1382200,3,1419684,3,1316916,3,1308252,3
780,1340488,3,1455060,3,1355460,3,1260732,3
840,1343788,3,1417660,3,1372356,3,1282116,3
900,1346032,3,1408552,3,1327344,3,1286604,3
960,1355932,3,1417792,3,1331832,3,1281588,3
1020,1378372,3,1459212,3,1336584,3,1300596,3
1080,1364116,3,1419216,3,1351764,3,1295316,3
1140,1349464,3,1460532,3,1352688,3,1277232,3
1200,1357384,3,1445748,3,1339356,3,1312212,3
1260,1387480,3,1412088,3,1346484,3,1305876,3
1320,1346692,3,1447596,3,1338036,3,1290300,3
1380,1360420,3,1467000,3,1326816,3,1308384,3
1440,1349068,3,1429644,3,1346880,3,1289112,3
1500,1374412,3,1451160,3,1341244,3,1293732,3
1560,1364512,3,1440600,3,1347844,3,1294524,3
1620,1351708,3,1473864,3,1338868,3,1284888,3
1680,1344712,3,1420536,3,1339792,3,1313136,3
1740,1386160,3,1427796,3,1340848,3,1284492,3
1800,1392892,3,1435320,3,1342168,3,1316304,3
