timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,971060,2,1036940,2,989324,2
60,1036664,2,1104128,2,1042388,2
120,1065176,2,1165772,2,1098620,2
180,1116260,2,1221344,2,1165148,2
240,1149128,2,1269524,2,1229688,2
300,1183052,2,1289456,2,1260180,2
360,1204832,2,1320872,2,1303608,2
420,1257896,2,1355852,2,1304268,2
480,1273284,2,1380140,2,1343868,2
540,1285692,2,1407596,2,1354824,2
600,1317372,2,1425812,2,1401420,2
660,1349712,2,1456160,2,1414620,2
720,1372812,2,1484540,2,1448016,2
780,1396440,2,1505476,2,1463724,2
840,1429572,2,1488184,2,1471776,2
900,1444224,2,1531744,2,1476264,2
960,1473264,2,1547768,2,1513092,2
