timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,301312,2,253136,2,254392,2
60,329580,2,275748,2,276304,2
120,513336,2,455800,2,431308,2
180,515092,2,460152,2,475120,2
240,520348,2,463864,2,472428,2
300,526956,2,474424,2,470684,2
360,538128,2,470564,2,497000,2
420,508280,2,452044,2,485688,2
480,521564,2,467968,2,469552,2
540,512036,2,479420,2,485232,2
600,511788,2,465880,2,478004,2
660,499868,2,471592,2,507688,2
720,532096,2,446032,2,498784,2
780,523512,2,476428,2,490516,2
840,536120,2,487352,2,498324,2
