timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1128664,5,1133228,5,1137280,5,1109056,5
60,1278748,5,1471676,5,1466356,5,1253596,5
120,1283104,5,1433800,5,1336044,5,1234456,5
180,1371316,5,1451620,5,1404684,5,1299816,5
240,1352836,4,1408588,6,1389692,5,1426452,5
300,1271392,5,1430880,5,1330368,5,1237724,5
360,1320364,5,1388772,5,1457880,5,1422920,5
420,1441516,5,1321056,4,1417884,5,1475192,6
480,1497484,5,1374168,5,1309800,4,1367444,6
540,1276780,5,1498376,5,1396524,5,1372592,5
600,1417888,4,1278172,5,1233504,4,1429364,7
660,1289188,5,1468664,6,1506084,4,1292736,5
720,1452604,5,1594880,5,1340292,5,1475688,5
780,1501576,5,1445192,5,1486284,5,1266732,5
840,1375648,4,1399256,5,1494824,5,1380384,6
900,1372744,5,1412952,4,1317680,6,1477932,5
960,1381852,4,1461792,5,1385264,5,1372992,6
1020,1257244,5,1501656,6,1407836,5,1303692,4
1080,1387528,4,1477368,5,1430012,6,1401768,5
1140,1318008,4,1430112,5,1555736,5,1499164,6
1200,1320868,5,1388664,4,1474196,5,1518700,6
1260,1483492,5,1428132,5,1361468,5,1517512,5
1320,1363768,5,1229868,5,1457432,5,1387644,5
1380,1324432,4,1377708,5,1563032,6,1287588,5
1440,1452076,5,1319364,5,1328024,5,1584060,5
1500,1344236,5,1273164,5,1336736,5,1318212,5
1560,1435316,4,1322928,7,1356392,4,1320852,5
1620,1340352,5,1724924,4,1434404,6,1445988,5
1680,1546344,7,1190324,4,1394304,4,1273200,5
1740,1515308,5,1207908,5,1358464,5,1311348,5
1800,1265432,5,1413828,5,1214452,5,1506312,5
