timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1066768,4,1092228,4,1080156,4
60,1133848,4,1132884,4,1169784,4
120,1174548,3,1229772,4,1298220,5
180,1384752,4,1357152,4,1264164,4
240,1406908,4,1496412,4,1307064,4
300,1462216,4,1527036,4,1509948,4
360,1541548,4,1612440,4,1617396,4
420,1637988,4,1674324,4,1594824,4
480,1588752,4,1817544,4,1817160,4
540,1677588,4,1931988,4,1972212,4
600,1784112,4,1807908,4,2008380,4
660,1930368,4,1920108,4,1772100,4
720,1797936,4,2244696,4,1727748,4
780,2164104,4,2027028,4,2087316,4
840,2412924,4,2249872,4,2022372,4
900,2289504,4,2333560,4,2208888,4
960,2619768,4,2335276,4,2281356,4
1020,2635988,4,2226772,4,2507340,4
1080,2656140,4,2356264,4,2519088,4
1140,2714924,4,2549116,4,2724216,4
1200,2722580,4,2662768,4,2674980,4
1260,2686544,4,2722704,4,2469852,4
1320,2284868,4,2496456,4,2778600,4
1380,2521808,4,2860116,4,2591344,4
1440,2795708,4,2727588,4,2892688,4
1500,2783696,4,2712576,4,2926480,4
1560,3425056,4,2467556,4,3398460,4
1620,3030008,4,2709432,4,3139084,4
1680,3244668,4,3286140,4,3351664,4
1740,2946744,4,3700660,4,2875408,4
1800,2710320,4,3717804,4,3403984,4
1860,2399076,4,2744576,4,2937772,4
1920,2903068,4,3295000,4,3599432,4
1980,2993300,4,2749316,4,3291868,4
2040,2393228,2,3199364,3,3335104,7
2100,1874732,2,2457436,3,2901900,7
2160,3744652,4,2721132,3,3772608,5
2220,3202068,4,3794220,4,2710948,4
2280,2980244,4,3786104,4,3793400,4
2340,3384872,5,2679424,3,2634172,4
2400,2481656,3,2746308,3,2125540,6
2460,2813584,4,2225808,4,2958492,4
2520,2728460,3,3435092,7,2032884,2
2580,2723916,6,3616448,3,3463948,3
2640,2919700,5,3405660,4,2949948,3
2700,1849456,1,3705168,7,3147424,4
2760,2386564,2,3744840,8,2039604,2
2820,2871588,6,3322592,3,3199092,3
2880,3103668,3,3785464,6,3192144,3
2940,2004580,2,2609484,3,2750816,7
3000,3388732,6,3768004,3,3607880,3
3060,3555688,2,3397800,7,3283936,3
3120,3594140,2,3223452,8,2089176,2
3180,2832816,3,3780052,7,2274596,2
3240,3030608,2,3776252,7,2788120,3
3300,3216080,3,2391944,3,2718804,6
3360,2613336,3,2507836,2,3269532,7
3420,2382924,8,3356248,2,2810372,2
3480,3780652,3,3737744,2,2838064,7
3540,2705680,6,3039516,3,2714120,3
3600,3041328,3,1998308,2,3793496,7
3660,1065576,2,1347400,8,1110184,2
3720,1155600,4,1187416,4,1166812,4
3780,1159692,4,1195600,4,1174808,4
3840,1170764,4,1196524,4,1168868,4
