timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1006708,2,1031704,2,1002956,2
60,1616284,2,1611580,2,1459280,2
