timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,990792,2,974764,2,1070836,2
60,1692636,6,977068,0,984244,0
120,1537084,2,1426336,2,1184488,2
180,1822996,2,1653640,2,1639888,2
240,1429504,2,1367464,2,1397008,2
300,1897840,2,1355188,2,1437532,2
360,1729012,1,1337764,2,1457464,3
420,2498968,1,1744060,2,1987180,3
480,2205400,1,2736964,2,2680708,3
540,3192232,1,2795044,3,2219500,2
600,2629516,1,2903548,2,2882800,3
660,3743044,2,3741548,2,2951616,2
720,1179248,1,3742912,3,2423088,2
780,1202348,1,1122544,1,1629372,4
840,1439684,2,1354732,2,1897596,2
900,1887824,2,1306948,2,1575252,2
960,1738136,1,1662292,2,1831712,3
1020,2857100,2,2400436,2,2099540,2
1080,2396420,1,1379924,2,1472692,3
1140,3344180,1,1609736,2,1858792,3
1200,2734340,1,2614916,3,2393656,2
1260,2761508,1,3060548,2,2700556,3
1320,3250964,1,2392952,2,3128500,3
1380,3058796,1,1808852,2,2177704,3
1620,1898408,2,1217748,2,1213840,2
1680,2038196,1,1237812,2,1625952,3
1740,2237516,1,1254708,2,1547348,3
1800,2153036,1,1304076,2,1575860,3
