timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1225312,4,1182208,3,1271200,5
60,1182368,4,1175792,3,1228,5
120,1265132,4,1267268,3,1350376,5
180,1325984,4,1225160,3,1494652,5
240,1447556,4,1310276,3,1557484,5
300,1490560,4,1440956,3,1614904,5
360,1603552,4,1462868,3,1758916,5
420,1713772,4,1633808,3,1819108,5
480,1711396,4,1632752,3,1966816,5
540,1770004,4,1633292,3,2107396,5
600,1761028,4,1713020,3,2109640,5
660,2011960,4,1753016,3,2177224,5
720,2192272,4,1820204,3,2166796,5
780,2112940,4,1873400,3,2370532,5
840,2256028,4,1922636,3,2419636,5
900,2105812,4,2024672,3,2558764,5
960,2164948,4,1993124,3,2790688,5
1020,2459968,4,2034968,3,2708452,5
1080,2486368,4,2116676,3,2800588,5
1140,2596544,4,2226368,3,2970076,5
1200,2536484,4,2177000,3,3013756,5
1260,2485532,4,2123804,3,2956336,5
1320,2770652,4,2485484,3,3101924,5
1380,2696996,4,2226632,3,3122280,5
1440,2707556,4,2116544,3,2879964,5
1500,2679704,4,2105720,3,3291060,5
1560,2868992,4,2378104,3,3758484,5
1620,3220112,4,1972072,3,3680692,5
1680,3146720,4,2271712,3,3037596,5
1740,3323464,4,2199112,3,3487900,5
1800,3538248,4,2416672,3,2922896,5
1860,3263200,4,2508148,3,3282896,5
1920,3059024,4,2601472,3,2145900,5
1980,2687596,4,2920120,3,3148452,5
2040,2719736,4,2545108,3,3077592,5
2100,2756588,4,2642920,3,2434224,5
2160,3269168,4,2736172,3,2839596,5
2220,3093856,4,3123592,3,2074972,5
2280,3004964,4,2962948,3,3353004,5
2340,2594972,4,2631760,3,3099116,5
2400,2622712,4,2821328,3,2632376,5
2460,2246776,4,2594024,3,2601428,5
2520,2449684,4,2699,3,3242668,5
2580,2940740,4,3092456,3,1877268,5
2640,2513324,4,3244520,3,2286996,5
2700,3257424,4,2479152,3,2204496,5
2760,2483024,4,3515432,3,2138996,5
2820,3786068,4,3797816,3,2576840,5
2880,3143188,4,3278920,3,3058904,5
2940,2863332,4,3222556,3,2201912,5
3000,2046380,4,2779716,3,2062784,5
3060,2579264,4,2695476,3,3157600,5
3120,2585592,4,1705620,3,3038340,5
3180,1376208,4,2283860,3,2322472,5
3240,2098908,4,2516032,3,2095036,5
3300,3752540,4,3322948,3,2350584,5
3360,2979928,4,2683520,3,3078344,5
3420,1749052,4,2777500,3,2944232,5
3480,1338876,4,2899408,3,3545544,5
3540,1561560,4,1756596,3,2931452,5
3600,1541496,4,3479964,3,3035168,5
