timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1087452,3,1110956,4,1157880,5
60,1156752,3,1233452,4,1245528,5
120,1251000,3,1222232,4,1309152,5
180,1201104,3,1326116,4,1432348,5
240,1254300,3,1359916,4,1452148,5
300,1304592,3,1392124,4,1531612,5
360,1407024,3,1452316,4,1572400,5
420,1356336,3,1509604,4,1736740,5
480,1407288,3,1508812,4,1734892,5
540,1483452,3,1648496,4,1817260,5
600,1514340,3,1692320,4,1817524,5
660,1514340,3,1773896,4,1837876,5
720,1567668,3,1801616,4,1972252,5
780,1635016,3,1731788,4,2037592,5
840,1727416,3,1867268,4,1996012,5
900,1716988,3,1823312,4,2196388,5
960,1659832,3,2013656,4,2218516,5
1020,1897432,3,1914524,4,2357512,5
1080,1776256,3,2102096,4,2269072,5
1140,1814536,3,2024348,4,2438428,5
1200,2036560,3,2122424,4,2620984,5
1260,1968448,3,2203868,4,2380744,5
1320,1985740,3,2285840,4,2450968,5
1380,1969372,3,2113508,4,2832448,5
1440,1933336,3,2435704,4,2813420,5
1500,2007388,3,2327200,4,3013532,5
1560,2006200,3,2501968,4,2944232,5
1620,2079328,3,2665516,4,3096164,5
1680,2066128,3,2529556,4,3045080,5
1740,2288680,3,2479396,4,3386828,5
1800,2169088,3,2469232,4,3362276,5
1860,2257252,3,2587900,4,3680536,5
1920,2157724,3,2599648,4,2959616,5
1980,2197720,3,2470,4,3743184,5
2040,2531680,3,2418532,4,3288136,5
2100,2389680,3,2818228,4,2650300,5
2160,2241840,3,2470012,4,3410932,5
2220,2561412,3,2710912,4,2981392,5
2280,2041860,3,2889376,4,2446076,5
2340,2041860,3,2889376,4,2446076,5
2400,2303172,3,2640556,4,3135716,5
2460,2380260,3,2781928,4,3793424,5
2520,2382504,3,2990356,4,2792244,5
2580,2302644,3,2768876,4,3238368,5
2640,2398872,3,3277096,4,3187680,5
2700,2557800,3,3801268,4,3284612,5
2760,2274396,3,2904060,4,3303656,5
2820,2366004,3,2770896,4,2895356,5
2880,2462364,3,3200172,4,2376672,5
2940,2643468,3,3751388,4,3511424,5
3000,2747352,3,3557536,4,3621980,5
3060,2264100,3,2422448,4,3322424,5
3120,2425008,3,2762972,4,2301272,5
3180,2666172,3,3316228,4,2421712,5
3240,2666172,3,3316228,4,2421712,5
3300,2788384,3,3552040,4,2708756,5
3360,2225932,3,3742500,4,2268028,5
3420,2229892,3,3417948,4,2893972,5
3480,2604724,3,2577416,4,1783744,5
3540,2830128,3,2690012,4,2271088,5
3600,2889016,3,3029436,4,2373784,5
