timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1464516,2,1505632,1,1423376,3
60,1132140,2,1097224,1,1232504,3
120,1132536,2,1095244,1,1372424,3
180,1171212,2,1096300,1,1353944,3
240,1173588,2,1094848,1,1261676,3
300,1222428,2,1096960,1,1214156,3
360,1172400,2,1097752,1,1413740,3
420,1291068,2,1097884,1,1379156,3
480,1310472,2,1272652,1,1330448,3
540,1336212,2,1289944,1,1633652,3
600,1356276,2,1164148,1,1480664,3
660,1357860,2,1304200,1,1514984,3
720,1337268,2,1281364,1,1448456,3
780,1400552,2,1262224,1,1621720,3
840,1457576,2,1223680,1,1512556,3
900,1476452,2,1183156,1,1600996,3
