timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,998988,3,962964,3,974576,3
60,1133232,1,1096680,1,1416180,7
120,1334400,3,1320596,3,1361136,3
180,1443300,3,1520576,3,1451424,3
240,1438020,3,1701548,3,1451028,3
300,1845900,2,1843844,3,1946820,4
360,1969980,3,1943900,3,1454856,3
420,1863588,2,2227568,3,2002236,4
480,2011956,1,2031680,4,1938612,4
540,2482008,1,2606276,4,2334216,4
600,1709808,1,2075900,2,2550300,6
660,2349612,1,2420684,3,2053452,5
720,1600644,1,2294288,3,1381176,5
780,2231604,3,2684288,3,1166824,3
840,2753400,1,1664852,4,1774816,4
900,1848500,1,1758176,2,2905112,6
960,2585456,1,3221264,1,3757360,7
1020,3350288,1,3376144,1,1867396,7
1080,2170468,1,2725448,1,1830900,7
1140,923164,1,909036,1,1180820,7
1200,1057012,2,1037340,2,1150960,5
1260,3547852,1,1084728,3,1055656,5
1320,1553400,5,1046184,2,1022416,2
1380,936528,1,906948,1,1192336,7
1440,1066152,2,1007652,2,3141420,5
1500,1216604,1,1103776,3,1064008,5
1560,941404,3,1093348,3,1073716,3
1620,1069244,2,1047148,2,2127516,5
1680,1067660,2,2995644,4,1019632,3
1740,1112276,1,1049120,4,1082764,4
1800,1087288,2,1047268,2,1138268,5
1860,3805236,3,1090252,3,1072332,3
1920,941732,1,1097644,3,1188080,5
1980,934924,1,1079544,5,1088136,3
2040,1032676,2,1027324,2,3796232,5
2100,936096,1,2691420,5,1112908,3
2160,2988500,5,1046484,2,1067632,2
2220,1081536,2,1053416,2,3592880,5
2280,1079228,2,2438492,5,1037880,2
2340,1082264,2,2700432,5,1062960,2
2400,2698140,5,1029660,2,1065732,2
2460,1060464,2,1044376,2,1025544,5
2520,1079736,2,3603384,5,1058676,2
2580,1050064,1,1169996,5,1110156,3
2640,943532,1,1053452,3,3803220,5
2700,1342480,5,1027068,2,1074192,2
2760,1039868,2,1019096,3,2553672,4
2820,1118476,1,1105308,3,1307904,5
2880,2989316,2,970988,2,1186620,5
2940,1056900,2,1069052,5,1077676,2
3000,1076936,2,1066976,2,2985604,5
3060,1084592,2,2354964,5,1051392,2
3120,1082084,2,1041612,2,2850344,5
3180,1081688,2,1038972,2,1257084,5
3240,972596,1,1296508,5,1094984,3
3300,1939584,1,909,1,1231824,7
3360,1084308,2,1044732,2,1255532,5
3420,1789428,3,1058328,2,1167256,4
3480,951192,1,1109280,3,3684092,5
3540,1080684,2,2786184,5,1087696,2
3600,1092176,2,3545348,5,1088356,2
