153.85,0,12001,0
85.87,115,12001,116
116.99,1,12001,5
493.08,0,12000,0
197.22,116,12001,137
446.29,1,12001,9
206.94,0,12001,0
108.26,156,12001,272
117.61,2,12001,3
174.79,0,12001,0
161.25,152,12001,297
225.78,0,12001,0
66.0,0,8923,0
81.98,155,8793,114
50.64,0,8966,0
332.74,0,8776,0
87.53,134,8635,58
266.35,0,8779,0
37.77,0,8916,0
54.27,156,8788,150
46.0,0,8948,0
145.99,0,8760,0
115.21,154,8641,139
117.18,8,8701,7
269.15,0,24001,0
136.8,115,24001,201
126.38,4,24001,1
574.1,0,24001,0
180.83,102,24001,153
222.1,13,24000,16
132.34,0,24001,0
160.39,154,24001,565
92.3,1,24001,0
334.35,0,24001,0
148.7,124,24000,411
170.19,11,24000,15
107.01,0,17659,0
104.36,146,17488,287
83.5,1,17657,0
433.9,0,17178,0
143.98,121,17139,84
134.33,9,17408,0
58.54,0,17917,0
66.32,148,17697,263
120.63,1,17611,0
97.88,0,17425,0
94.37,139,17120,250
159.78,17,17372,8
134.03,0,12001,0
235.07,304,12001,291
131.05,4,12001,0
249.65,0,12000,0
92.59,306,12001,252
111.79,15,12000,4
37.58,0,12000,0
79.38,291,12001,269
96.59,2,12001,0
84.51,0,12001,0
135.07,297,12001,281
100.06,17,12001,2
86.61,0,8946,0
69.2,301,8568,167
102.91,1,8903,0
198.7,0,8807,0
90.21,310,8367,164
112.84,19,8780,3
35.03,0,8925,0
145.7,299,8428,182
51.65,2,8920,0
78.92,0,8796,0
87.15,314,8489,212
66.54,17,8716,3
147.63,0,24000,0
151.24,290,24001,551
79.45,3,24001,0
476.51,0,24001,0
170.27,265,24000,419
181.74,10,24001,2
73.38,0,24000,0
84.24,305,24001,623
167.51,8,24000,4
149.77,0,24001,0
151.6,305,24001,604
125.46,5,24001,0
118.25,0,17309,2
82.77,270,17340,240
59.57,2,17830,0
296.81,0,17397,0
136.44,283,16883,322
217.39,9,17364,0
40.58,0,17490,3
87.38,289,17305,356
160.51,1,17167,1
82.32,0,17520,0
130.2,296,16923,424
122.65,13,17507,3
