metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_connecting,1673993359,2.621996,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_tls_handshaking,1673993359,0.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_sending,1673993359,0.052210,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_waiting,1673993359,343.318925,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_receiving,1673993359,0.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_failed,1673993359,1.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_reqs,1673993359,1.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_duration,1673993359,403.399606,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_blocked,1673993359,2.679238,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_connecting,1673993359,2.603115,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_tls_handshaking,1673993359,0.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_sending,1673993359,0.081884,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_waiting,1673993359,403.317722,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_receiving,1673993359,0.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_req_failed,1673993359,1.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
http_reqs,1673993359,1.000000,,read: connection reset by peer,1220,false,,GET,http://192.168.59.104:31003/memory/increase,,default,,0,,,http://192.168.59.104:31003/memory/increase,,
