timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,872552,2,910728,2,861828,2
60,974852,6,1001412,0,972972,0
120,1395624,1,954552,1,929016,4
180,1041864,1,1096056,5,1360788,0
240,1092552,1,1755000,5,932448,0
300,966096,1,1944816,3,935088,2
360,947748,1,1680552,1,1373856,4
420,947220,1,1239144,5,2106192,0
480,1449480,6,2525368,0,941424,0
540,2507880,6,1029808,0,941820,0
600,2737288,2,1030600,2,942348,2
660,1888880,1,1669216,1,1524864,4
720,1288004,1,1306876,5,2212444,0
780,1274540,1,3495380,5,1014148,0
840,1235072,2,2473368,2,1015072,2
900,1913288,1,2171616,1,2395260,4
960,1373012,1,1151388,5,899292,0
1020,1406656,6,2926456,0,897840,0
1080,2517800,6,944608,0,892956,0
1140,1581680,1,944608,3,912756,2
1200,1074272,1,3754904,5,1354432,0
1260,1389356,1,1757760,1,937312,4
1320,1055396,1,1235568,5,3757968,0
1380,1100408,6,3742980,0,911540,0
1440,3425448,6,939172,0,907712,0
1500,2674392,1,939832,1,908240,4
1560,1243908,6,1225876,0,2631936,0
1620,1585584,1,951448,5,922932,0
1680,1060092,1,3756604,3,919236,2
1740,1238424,6,3403736,0,2635632,0
1800,2779140,1,996848,5,922140,0
1860,2037448,1,3748876,5,919896,0
1920,2551720,1,2729068,1,922536,4
1980,1673788,1,1310428,5,3318104,0
2040,2676592,6,3755980,0,900656,0
2100,3246480,6,924196,0,897752,0
2160,3130528,2,925120,2,903560,2
2220,2451132,1,3346584,5,3716524,0
2280,1338924,1,983456,1,909704,4
2340,1850556,6,2002892,0,3276156,0
2400,3190272,6,960092,0,894480,0
2460,3143864,1,956792,1,893292,4
2520,1201344,1,3044504,5,3105624,0
2580,1436612,6,3264948,0,931268,0
2640,1868136,1,939504,5,929760,0
2700,2071724,6,3019068,0,931080,0
2760,3773336,1,952740,5,928704,0
2820,1690172,6,2648264,0,930024,0
2880,3018152,1,1013708,5,930400,0
2940,919596,6,3424780,0,931588,0
3000,2628864,6,958700,0,929740,0
3060,1920780,1,958304,1,927232,4
3120,2537292,1,1224236,5,3421096,0
3180,907572,1,3460372,1,901612,4
3240,972780,6,921268,0,2544780,0
3300,2697464,6,916780,0,895176,0
3360,3437680,1,913612,1,897552,4
3420,907992,1,1546452,5,1903148,0
3480,3814860,1,2993380,5,925424,0
3540,2066668,1,2763184,1,925160,4
3600,1663732,6,929980,0,2926660,0
